DATE,WTREGEN
1996-05-22,5.127
1996-05-29,5.175
1996-06-05,4.276
1996-06-12,5.697
1996-06-19,6.022
1996-06-26,7.184
1996-07-03,6.417
1996-07-10,5.277
1996-07-17,5.464
1996-07-24,5.260
1996-07-31,5.384
1996-08-07,5.069
1996-08-14,4.781
1996-08-21,5.129
1996-08-28,5.272
1996-09-04,5.347
1996-09-11,4.669
1996-09-18,5.754
1996-09-25,7.620
1996-10-02,6.815
1996-10-09,4.529
1996-10-16,4.885
1996-10-23,5.414
1996-10-30,5.228
1996-11-06,5.013
1996-11-13,4.905
1996-11-20,5.039
1996-11-27,4.996
1996-12-04,4.509
1996-12-11,4.926
1996-12-18,7.169
1996-12-25,5.694
1997-01-01,6.326
1997-01-08,4.479
1997-01-15,5.512
1997-01-22,6.524
1997-01-29,7.896
1997-02-05,6.207
1997-02-12,4.829
1997-02-19,5.002
1997-02-26,4.425
1997-03-05,5.149
1997-03-12,5.169
1997-03-19,7.479
1997-03-26,5.376
1997-04-02,5.535
1997-04-09,4.826
1997-04-16,7.837
1997-04-23,8.660
1997-04-30,32.937
1997-05-07,23.899
1997-05-14,14.661
1997-05-21,5.176
1997-05-28,5.053
1997-06-04,4.993
1997-06-11,5.254
1997-06-18,6.831
1997-06-25,11.868
1997-07-02,12.577
1997-07-09,3.902
1997-07-16,4.919
1997-07-23,5.212
1997-07-30,4.877
1997-08-06,5.196
1997-08-13,4.965
1997-08-20,4.444
1997-08-27,4.866
1997-09-03,5.131
1997-09-10,4.712
1997-09-17,6.807
1997-09-24,6.949
1997-10-01,6.687
1997-10-08,5.402
1997-10-15,5.110
1997-10-22,5.527
1997-10-29,5.868
1997-11-05,5.225
1997-11-12,5.338
1997-11-19,5.059
1997-11-26,5.002
1997-12-03,4.762
1997-12-10,4.529
1997-12-17,6.330
1997-12-24,5.001
1997-12-31,4.758
1998-01-07,5.031
1998-01-14,5.253
1998-01-21,9.148
1998-01-28,6.976
1998-02-04,5.696
1998-02-11,5.062
1998-02-18,4.969
1998-02-25,4.400
1998-03-04,5.447
1998-03-11,4.867
1998-03-18,6.294
1998-03-25,5.181
1998-04-01,5.033
1998-04-08,5.044
1998-04-15,6.218
1998-04-22,7.894
1998-04-29,17.944
1998-05-06,8.442
1998-05-13,6.055
1998-05-20,5.428
1998-05-27,5.179
1998-06-03,5.341
1998-06-10,5.031
1998-06-17,6.982
1998-06-24,12.769
1998-07-01,18.717
1998-07-08,5.956
1998-07-15,5.171
1998-07-22,5.155
1998-07-29,5.115
1998-08-05,5.234
1998-08-12,4.839
1998-08-19,5.450
1998-08-26,4.905
1998-09-02,5.400
1998-09-09,5.396
1998-09-16,5.869
1998-09-23,7.144
1998-09-30,6.989
1998-10-07,5.779
1998-10-14,5.480
1998-10-21,5.322
1998-10-28,5.326
1998-11-04,5.030
1998-11-11,5.256
1998-11-18,4.801
1998-11-25,5.026
1998-12-02,5.304
1998-12-09,5.035
1998-12-16,6.324
1998-12-23,5.434
1998-12-30,7.195
1999-01-06,5.992
1999-01-13,5.423
1999-01-20,7.296
1999-01-27,6.963
1999-02-03,6.876
1999-02-10,4.865
1999-02-17,4.223
1999-02-24,4.998
1999-03-03,4.974
1999-03-10,5.087
1999-03-17,6.313
1999-03-24,5.309
1999-03-31,5.160
1999-04-07,5.644
1999-04-14,4.853
1999-04-21,6.790
1999-04-28,7.182
1999-05-05,7.888
1999-05-12,5.307
1999-05-19,5.157
1999-05-26,4.888
1999-06-02,4.897
1999-06-09,4.855
1999-06-16,5.449
1999-06-23,7.023
1999-06-30,6.823
1999-07-07,5.766
1999-07-14,5.264
1999-07-21,5.056
1999-07-28,4.901
1999-08-04,5.105
1999-08-11,5.100
1999-08-18,5.080
1999-08-25,4.851
1999-09-01,5.403
1999-09-08,5.113
1999-09-15,5.480
1999-09-22,7.512
1999-09-29,7.403
1999-10-06,5.457
1999-10-13,5.235
1999-10-20,5.421
1999-10-27,5.206
1999-11-03,4.968
1999-11-10,4.814
1999-11-17,4.726
1999-11-24,5.340
1999-12-01,5.107
1999-12-08,4.800
1999-12-15,5.273
1999-12-22,6.206
1999-12-29,12.138
2000-01-05,20.943
2000-01-12,5.326
2000-01-19,5.390
2000-01-26,7.205
2000-02-02,6.131
2000-02-09,5.259
2000-02-16,5.306
2000-02-23,5.334
2000-03-01,5.090
2000-03-08,5.358
2000-03-15,5.457
2000-03-22,5.675
2000-03-29,5.067
2000-04-05,5.057
2000-04-12,5.462
2000-04-19,6.778
2000-04-26,12.417
2000-05-03,14.439
2000-05-10,9.068
2000-05-17,5.424
2000-05-24,5.114
2000-05-31,4.880
2000-06-07,4.656
2000-06-14,5.232
2000-06-21,7.943
