DATE,LTDACBM027NBOG
2002-07-01,1021.0619
2002-08-01,1021.4885
2002-09-01,1019.5170
2002-10-01,1013.3052
2002-11-01,1010.8752
2002-12-01,990.8350
2003-01-01,1007.5373
2003-02-01,1022.8318
2003-03-01,1020.3006
2003-04-01,1005.6276
2003-05-01,1014.7932
2003-06-01,1008.3488
2003-07-01,1001.7450
2003-08-01,999.2841
2003-09-01,997.0424
2003-10-01,980.7475
2003-11-01,989.1652
2003-12-01,999.5118
2004-01-01,1027.5416
2004-02-01,1035.7329
2004-03-01,1052.3214
2004-04-01,1073.4536
2004-05-01,1105.1455
2004-06-01,1129.4988
2004-07-01,1160.8584
2004-08-01,1159.8511
2004-09-01,1160.4246
2004-10-01,1159.6144
2004-11-01,1175.8740
2004-12-01,1197.4431
2005-01-01,1235.1595
2005-02-01,1237.0940
2005-03-01,1246.2869
2005-04-01,1292.0822
2005-05-01,1302.3730
2005-06-01,1329.2529
2005-07-01,1317.7572
2005-08-01,1362.1972
2005-09-01,1387.4554
2005-10-01,1390.8815
2005-11-01,1395.4886
2005-12-01,1422.0873
2006-01-01,1449.0784
2006-02-01,1467.1534
2006-03-01,1506.3862
2006-04-01,1554.2795
2006-05-01,1578.2097
2006-06-01,1600.0315
2006-07-01,1606.5267
2006-08-01,1635.8313
2006-09-01,1670.7034
2006-10-01,1691.5375
2006-11-01,1706.3353
2006-12-01,1715.6133
2007-01-01,1723.1250
2007-02-01,1722.0972
2007-03-01,1721.8543
2007-04-01,1749.6502
2007-05-01,1784.7962
2007-06-01,1764.5016
2007-07-01,1750.5305
2007-08-01,1797.6705
2007-09-01,1849.0336
2007-10-01,1948.1655
2007-11-01,2017.7676
2007-12-01,2021.0790
2008-01-01,2052.5129
2008-02-01,2064.2262
2008-03-01,2078.3290
2008-04-01,2090.2270
2008-05-01,2104.5578
2008-06-01,2100.5181
2008-07-01,2066.8287
2008-08-01,2076.6811
2008-09-01,2124.8076
2008-10-01,2049.7596
2008-11-01,1915.5521
2008-12-01,1916.9907
2009-01-01,1905.3085
2009-02-01,1843.2914
2009-03-01,1818.6524
2009-04-01,1846.1408
2009-05-01,1892.0608
2009-06-01,1890.6158
2009-07-01,1868.8716
2009-08-01,1883.5092
2009-09-01,1870.4391
2009-10-01,1886.9498
2009-11-01,1877.8910
2009-12-01,1894.4991
2010-01-01,1882.5653
2010-02-01,1850.2999
2010-03-01,1813.5064
2010-04-01,1774.9101
2010-05-01,1732.3454
2010-06-01,1725.7493
2010-07-01,1740.0756
2010-08-01,1760.3069
2010-09-01,1761.9697
2010-10-01,1770.8726
2010-11-01,1748.7343
2010-12-01,1725.114
2011-01-01,1719.1296
2011-02-01,1706.5796
2011-03-01,1717.6917
2011-04-01,1747.6946
2011-05-01,1790.6286
2011-06-01,1743.3536
2011-07-01,1656.607
2011-08-01,1555.1398
2011-09-01,1556.3551
2011-10-01,1529.3181
2011-11-01,1498.9323
2011-12-01,1491.2471
2012-01-01,1484.3962
2012-02-01,1469.2421
2012-03-01,1461.9576
2012-04-01,1469.035
2012-05-01,1463.4672
2012-06-01,1478.8648
2012-07-01,1490.3294
2012-08-01,1497.6678
2012-09-01,1498.633
2012-10-01,1486.3304
2012-11-01,1475.4864
2012-12-01,1514.2847
2013-01-01,1534.9981
2013-02-01,1539.8562
2013-03-01,1528.4870
2013-04-01,1514.3574
2013-05-01,1529.1799
2013-06-01,1556.4233
2013-07-01,1566.7918
2013-08-01,1557.5352
2013-09-01,1584.7562
2013-10-01,1552.3845
2013-11-01,1570.5213
2013-12-01,1590.9931
2014-01-01,1629.0605
2014-02-01,1635.9302
2014-03-01,1646.7492
2014-04-01,1676.8497
2014-05-01,1687.4696
2014-06-01,1671.5621
2014-07-01,1671.943
2014-08-01,1649.6754
2014-09-01,1642.0181
2014-10-01,1629.812
2014-11-01,1670.5745
2014-12-01,1688.8511
2015-01-01,1709.2615
2015-02-01,1723.9532
2015-03-01,1714.5371
2015-04-01,1696.6991
2015-05-01,1702.3996
2015-06-01,1704.9428
2015-07-01,1711.4774
2015-08-01,1712.531
2015-09-01,1681.3552
2015-10-01,1701.5315
2015-11-01,1675.0371
2015-12-01,1644.5446
2016-01-01,1667.3827
2016-02-01,1690.7707
2016-03-01,1680.6236
2016-04-01,1654.0562
2016-05-01,1656.4714
2016-06-01,1659.3331
2016-07-01,1620.0609
2016-08-01,1589.7988
2016-09-01,1517.3212
2016-10-01,1488.8064
2016-11-01,1490.7227
2016-12-01,1493.5975
2017-01-01,1528.2159
2017-02-01,1534.714
2017-03-01,1543.476
2017-04-01,1566.9817
2017-05-01,1581.9787
2017-06-01,1580.8305
2017-07-01,1585.8156
2017-08-01,1604.28
2017-09-01,1606.9707
2017-10-01,1599.5793
2017-11-01,1605.2286
2017-12-01,1588.6631
2018-01-01,1619.5283
